# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total Coli,,Faecal Coli
,,,Temperature,,,Dissolved,,,,Conductivity,,,,Nitrate-N +,,,,
,"MALLAYAPETA, KATHERU,",,,,,,,,,,,,,,,,,
,RAJAMAHENDRAVARAM,,,,,,,,,,,,,,,,,
,"BOREWELL WATER , APIIC",,,,,,,,,,,,,,,,,
4376,"OFFICE, IDA KONDAPALLI,","ANDHRA PRADESH ","25.0 ","29.0 ","4.0 ","4.2 ","7.6 ","7.9 ","2990 ","3082 ","1.2 ","1.2 ","3.22 ","3.84 ","2 ","3 ","400 ",460
,IBRAHIMPATNAM (M),,,,,,,,,,,,,,,,,
,BOREWELL AT IMITATION,,,,,,,,,,,,,,,,,
4377,"JEWELLARY PARK,","ANDHRA PRADESH ","26.0 ","26.0 ","3.9 ","4.2 ","7.9 ","8.5 ","1770 ","5590 ","0.8 ","0.8 ","2.84 ","4.02 ","2 ","3 ","23 ",800
,MACHILIPTNAM,,,,,,,,,,,,,,,,,
,"BOREWELL WATER , SRI",,,,,,,,,,,,,,,,,
,VENKATESWARA SWAMY,,,,,,,,,,,,,,,,,
4380,,"ANDHRA PRADESH ","21.0 ","22.0 ","4.3 ","4.5 ","7.1 ","7.5 ","782 ","972 ","0.8 ","0.8 ","3.60 ","4.97 ","2 ","3 ","28 ",220
,"TEMPLE, VENKATAPALEM (V),",,,,,,,,,,,,,,,,,
,TULLUR (M),,,,,,,,,,,,,,,,,
,BOREWELL WATER POLICE,,,,,,,,,,,,,,,,,
4382,"STATION, AUTONAGAR,","ANDHRA PRADESH ","21.0 ","21.0 ","4.4 ","4.4 ","7.5 ","7.5 ","3800 ","3800 ","0.8 ","0.8 ","6.00 ","6.00 ","3 ","3 ","15 ",15
,"PEDAKAKANI, GUNTUR",,,,,,,,,,,,,,,,,
,BOREWELL IN FRONT OF M/S,,,,,,,,,,,,,,,,,
4384,BHAGEERADHA CHEMICALS &,"ANDHRA PRADESH ","24.0 ","30.0 ","4.2 ","4.6 ","7.4 ","8.2 ","6320 ","10000 ","0.8 ","1.8 ","5.40 ","9.20 ","2 ","3 ","120 ",380
,"INDUSTRIES LTD,",,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,Total Coli,Faecal Coli,
,,,Temperature,,,Dissolved,,,,Conductivity,,,,Nitrate-N +,,,,
,,,,,,,,"pH ",,,,"B.O.D. ",,,form,,form,
Station,,,,,,,,,,,,,,,,,,
,,,⁰C,,,"O2 ",,,,"(μmhos/cm) ",,,Nitrite-N (mg/l),,,,,
,"Station Name ",State Name,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(MPN/100ml),,(MPN/100ml),
"Code ",,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max
,CHERUVUKOMMUPALEM (V),,,,,,,,,,,,,,,,,
,ONGOLE (M),,,,,,,,,,,,,,,,,
,BOREWELL NEAR SRI,,,,,,,,,,,,,,,,,
4392,"GOVINDARAJA SWAMY TEMPLE,","ANDHRA PRADESH ","28.0 ","36.0 ","4.8 ","5.3 ","6.5 ","6.9 ","1230 ","1280 ","0.5 ","0.5 ","1.13 ","3.60 ","2 ","2 ","2 ",2
,TIRUPATI TOWN,,,,,,,,,,,,,,,,,
,"CLOSED MSW DUMPSITE,",,,,,,,,,,,,,,,,,
