# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024,,,,,,,,,,,,,,,,,,,,,
,,,Temperature,,,,,Conductivity,,,,NitrateN +,Fecal Coliform,,Total Coliform,,,Total Dissolved,,Fluoride,,,
,,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,,,Arsenic (mg/L),
,,,"(°C) ",,,,,(μmho/cm),,,NitriteN(mg/L),,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,(mg/L),,,
"STN Code ","Monitoring Location ",State Name,,,,,,,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
"BIS IS 10500 : 2012 Drinking Water -Specification ",,,"- ",,,"6.5-8.5 ","- ",,"- ",,,"< 45 mg/L ","- ",,"- ",,,< 2000 mg/L,"< 1.5 mg/L ",,,< 0.05 mg/L,
"3091 ",,"ANDHRA PRADESH ","24 ","28 ","7 ","7.23 ","2682 ","3210 ","1.8 ","3.4 ","9.41 ","9.62 ","1.8 ","1.8 ","3 ","3 ","1720 ","2012 ","0.2 ","1.08 ","0.00049 ",0.00049,
,"DUMPSITE, VISHAKHAPATNAM ",,,,,,,,,,,,,,,,,,,,,,
,"BORE WELL AT ARINAM AKKIVALASA (V),",,,,,,,,,,,,,,,,,,,,,,
"3092 ",,"ANDHRA PRADESH ","26 ","30 ","7.13 ","7.38 ","1320 ","1555 ","1.8 ","1.9 ","4.35 ","5.22 ","1.8 ","1.8 ","3 ","3 ","832 ","1040 ","0.2 ","1.06 ","0.001 ",0.001,
,"ETCHERLA (M) ",,,,,,,,,,,,,,,,,,,,,,
,"BORE WELL AT ALLADAPALEM (V),",,,,,,,,,,,,,,,,,,,,,,
"3093 ",,"ANDHRA PRADESH ","23 ","25 ","7.6 ","7.77 ","1052 ","1185 ","2 ","2.8 ","4.37 ","6.05 ","1.8 ","1.8 ","3 ","3 ","640 ","796 ","0.43 ","0.96 ","0.00049 ",0.00049,
,"PUSAPATIREGA(M) ",,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL AT ZP HIGH SCHOOL,",,,,,,,,,,,,,,,,,,,,,,
4350,"UDDANAM REGION, AMALAPADU (V),","ANDHRA PRADESH ","30 ","34 ","6.9 ","6.92 ","1117 ","1258 ","3.2 ","3.8 ","8.63 ","9.84 ","1.8 ","1.8 ","3 ","3 ","722 ","836 ","0.2 ","0.83 ","0.001 ",0.001,
,VAJRAPUKOTTURU (M),,,,,,,,,,,,,,,,,,,,,,

,,,Temperature,,,,,Conductivity,,,,NitrateN +,Fecal Coliform,,Total Coliform,,,Total Dissolved,,Fluoride,,,
,,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,,,Arsenic (mg/L),
,,,"(°C) ",,,,,(μmho/cm),,,NitriteN(mg/L),,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,(mg/L),,,
"STN Code ","Monitoring Location ",State Name,,,,,,,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
"BIS IS 10500 : 2012 Drinking Water -Specification ",,,"- ",,,"6.5-8.5 ","- ",,"- ",,,"< 45 mg/L ","- ",,"- ",,,< 2000 mg/L,"< 1.5 mg/L ",,,< 0.05 mg/L,
,"BORE WELL AT MANGARAJU HOUSE,",,,,,,,,,,,,,,,,,,,,,,
4353,"GAJAPATHINAGARAM VILLAGE,","ANDHRA PRADESH ","25 ","26 ","7.64 ","8.02 ","3090 ","3385 ","2 ","2.4 ","8.48 ","9.36 ","1.8 ","1.8 ","1.8 ","3 ","2020 ","2165 ","0.41 ",1.27,,,
,PAYAKARAOPETA (M),,,,,,,,,,,,,,,,,,,,,,
,"BORE WELL, SRI NOOKATATA TEMPLE",,,,,,,,,,,,,,,,,,,,,,
"4354 ",,"ANDHRA PRADESH ","26 ","27 ","7.18 ","7.94 ","1444 ","12070 ","1.6 ","3.6 ","1.87 ","8.75 ","1.8 ","1.8 ","3 ","3 ","956 ","7932 ","0.36 ",0.92,,,
,"RAJAYYAPETA VILLAGE, NAKKAPALLI (M) ",,,,,,,,,,,,,,,,,,,,,,
,"BORE WELL, CHIPPADA (V),",,,,,,,,,,,,,,,,,,,,,,
"4355 ",,"ANDHRA PRADESH ","26 ","26 ","6.69 ","6.9 ","790 ","906 ","2 ","2.3 ","6.97 ","8.51 ","1.8 ","1.8 ","3 ","3 ","516 ","620 ","0.2 ","0.97 ","0.00049 ",0.00049,
,"BHEEMUNIPATNAM (M) ",,,,,,,,,,,,,,,,,,,,,,
,"BORE WELL AT IDA, RAMANAYYAPETA,",,,,,,,,,,,,,,,,,,,,,,
"4360 ",,"ANDHRA PRADESH ","27 ","28 ","7.76 ","7.9 ","960 ","1057 ","1.1 ","2.1 ","5.58 ","6.44 ","1.8 ","1.8 ","3 ","3 ","624 ","772 ","0.21 ","0.28 ","0.004 ",0.004,
,"KAKINADA TOWN ",,,,,,,,,,,,,,,,,,,,,,
,"BORE WALL AT RAJIV GRUHAKALAPA,",,,,,,,,,,,,,,,,,,,,,,
,NEAR AP PAPER MILLS WORKERS,,,,,,,,,,,,,,,,,,,,,,
4364,,"ANDHRA PRADESH ","27 ","29 ","7.31 ","7.56 ","1007 ","1062 ","1.3 ","3.8 ","0.41 ","0.56 ","1.8 ","1.8 ","3 ","3 ","604 ","712 ","0.2 ","0.46 ","0.001 ",0.001,
,"COLONY, MALLAYYAPETA, KATHERU,",,,,,,,,,,,,,,,,,,,,,,
,RAJAMAHENDRAVARAM,,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL WATER , APIIC OFFICE, IDA",,,,,,,,,,,,,,,,,,,,,,
4376,"KONDAPALLI, KONDAPALLI (V),","ANDHRA PRADESH ","22 ","28 ","7.29 ","7.34 ","7700 ","7840 ","2.5 ","2.6 ","3.39 ","3.67 ","3 ","4 ","9 ","11 ","4600 ","4740 ","0.64 ","0.69 ","0.00049 ",0.00049,
,IBRAHIMPATNAM (M),,,,,,,,,,,,,,,,,,,,,,
,BOREWELL AT IMITATION JEWELLARY,,,,,,,,,,,,,,,,,,,,,,
"4377 ",,"ANDHRA PRADESH ","26 ","28 ","8.06 ","8.1 ","7320 ","9400 ","2.4 ","2.7 ","3.3 ","4.59 ","3 ","4 ","9 ","11 ","4390 ","5820 ","0.76 ","0.87 ","0.00049 ",0.00049,
,"PARK, MACHILIPTNAM TOWN ",,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL WATER , SRI VENKATESWARA",,,,,,,,,,,,,,,,,,,,,,
4380,"SWAMY TEMPLE, VENKATA PALEM (V),","ANDHRA PRADESH ","22 ","31 ","7.19 ","7.48 ","758 ","760 ","1.6 ","1.8 ","0.85 ","0.9 ","3 ","3 ","9 ","9 ","440 ","448 ","0.56 ","0.59 ","0.00049 ",0.00049,
,TULLUR (M),,,,,,,,,,,,,,,,,,,,,,
,BOREWELL AT PEDAKAKANI POLICE,,,,,,,,,,,,,,,,,,,,,,
4382,"STATION, AUTONAGAR, PEDAKAKANI (V","ANDHRA PRADESH ","24 ","29 ","7.51 ","7.58 ","4210 ","4326 ","2.2 ","2.3 ","5.1 ","5.41 ","3 ","4 ","14 ","15 ","2520 ","2608 ","0.63 ","0.69 ","0.00049 ",0.00049,
,& M),,,,,,,,,,,,,,,,,,,,,,
,BOREWELL IN FRONT OF M/S,,,,,,,,,,,,,,,,,,,,,,
,BHAGEERADHA CHEMICALS &,,,,,,,,,,,,,,,,,,,,,,
4384,"INDUSTRIES LTD,","ANDHRA PRADESH ","23 ","27 ","7.7 ","7.86 ","8943 ","9140 ","2.6 ","2.9 ","9.6 ","10.17 ","3 ","7 ","11 ","15 ","5372 ","5480 ","0.73 ","0.76 ","0.00049 ",0.00049,
,"CHERUVUKOMMUPALEM (V),",,,,,,,,,,,,,,,,,,,,,,
,ONGOLE (M),,,,,,,,,,,,,,,,,,,,,,
,BOREWELL NEAR SRI GOVINDARAJA,,,,,,,,,,,,,,,,,,,,,,
"4392 ",,"ANDHRA PRADESH ","26 ","28 ","7 ","7.3 ","883 ","1060 ","1 ","1 ","4.41 ","9.65 ","1.8 ","1.8 ","5 ","5 ","461 ","604 ","0.75 ",0.81,,,
,"SWAMY TEMPLE, TIRUPATI TOWN ",,,,,,,,,,,,,,,,,,,,,,
,"CLOSED MSW DUMPSITE, UKKAYAPALLI",,,,,,,,,,,,,,,,,,,,,,
"4393 ",,"ANDHRA PRADESH ","26 ","26 ","7 ","7.1 ","2082 ","2505 ","1 ","1 ","6.69 ","10.7 ","1.8 ","2 ","4 ","14 ","1370 ","1388 ","0.9 ",1.51,,,
