# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,WATER QUALITY DATA OF GROUND WATER UNDER NWMP - 2021,,,,,,,,,,,,,,,,,,,,
,,Temperature,,,,,Conductivity,,,,Nitrate N,Faecal Coliform,,Total Coliform,,Total Dissolved,,,Fluoride,,Arsenic,
,TULLUR (M) ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,

,,WATER QUALITY DATA OF GROUND WATER UNDER NWMP - 2021,,,,,,,,,,,,,,,,,,,,
,,Temperature,,,,,Conductivity,,,,Nitrate N,Faecal Coliform,,Total Coliform,,Total Dissolved,,,Fluoride,,Arsenic,
,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,,,,
STN,,,,,,,,,,,,,,,,,,,,,,
,,,"⁰C ",,,,"(μmhos/cm) ",,,,(mg/L),(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,(mg/L),,(mg/L),
,Name of Monitoring Location State Name,,,,,,,,,,,,,,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,,,
,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
,BOREWELL WATER POLICE,,,,,,,,,,,,,,,,,,,,,
4382,"STATION, AUTONAGAR,","21.0 ","22.0 ","7.1 ","8.1 ","4450 ","4580 ","2.0 ","2.2 ","3.50 ","3.86 ","3 ","3 ","28 ","28 ","2790 ","2840 ","0.2 ","0.8 ","0.001 ",0.001,
,"PEDAKAKANI, GUNTUR ANDHRA PRADESH",,,,,,,,,,,,,,,,,,,,,
,"CLOSED MSW DUMPSITE,",,,,,,,,,,,,,,,,,,,,,
"4393 ",,"24.0 ","25.0 ","7.3 ","7.4 ","2810 ","3352 ","1.0 ","1.0 ","10.40 ","13.10 ","2 ","9 ","2 ","71 ","1589 ","1785 ","0.6 ","1.2 ","0.004 ",0.004,
,"UKKAYAPALLI (V), KADAPA (M) ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,HAND PUMP AT,,,,,,,,,,,,,,,,,,,,,
3090,"PITTAVANIPALEM,","27.0 ","27.0 ","6.7 ","7.6 ","1610 ","1983 ","2.2 ","2.2 ","2.50 ","18.80 ","3 ","4 ","75 ","75 ","1120 ","1312 ","0.3 ","0.5 ","0.001 ",0.001,
,VISHAKHAPATNAM ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
,"HAND PUMP AT TANAM VILL.,",,,,,,,,,,,,,,,,,,,,,
"3089 ",,"27.0 ","28.0 ","7.2 ","7.9 ","2180 ","2180 ","2.1 ","2.2 ","1.60 ","13.10 ","4 ","4 ","75 ","93 ","1480 ","1524 ","1.1 ","1.3 ","0.001 ",0.001,
,"VISHAKHAPATNAM ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,OPEN WELL NEAR PARTAP,,,,,,,,,,,,,,,,,,,,,
"1524 ",,"27.0 ","30.0 ","7.3 ","7.7 ","1147 ","1295 ","2.1 ","2.1 ","0.90 ","4.78 ","4 ","4 ","75 ","75 ","784 ","848 ","0.3 ","1.0 ","0.001 ",0.001,
,"NAGAR BRIDGE -KAKINADA ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,OPEN WELL NEAR RAMA,,,,,,,,,,,,,,,,,,,,,
1521,"TEMPLE , WARD NO.2 , MINDI ,","26.0 ","27.0 ","6.8 ","7.5 ","1977 ","2580 ","1.8 ","4.0 ","1.50 ","12.40 ","7 ","7 ","93 ","120 ","1296 ","1812 ","0.8 ","0.8 ","0.001 ",0.001,
,VISAKHAPATNAM ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
,OPEN WELL PEDDANUVVI -,,,,,,,,,,,,,,,,,,,,,
"1522 ",,"27.0 ","28.0 ","7.4 ","7.9 ","1120 ","1190 ","1.6 ","2.1 ","1.50 ","2.87 ","3 ","9 ","75 ","75 ","780 ","792 ","0.5 ","0.8 ","0.001 ",0.001,
,"VIZIANAGARAM ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,WELL AT GRAM PANCHAYAT,,,,,,,,,,,,,,,,,,,,,
"26 ",,"25.0 ","25.0 ","7.0 ","8.1 ","1597 ","2160 ","1.0 ","2.2 ","0.70 ","1.89 ","3 ","3 ","20 ","23 ","942 ","1314 ","0.4 ","0.7 ","0.001 ",0.001,
,"OFFICE, KAANURU, VIJAYWADA ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER AT (JORHAT,",,,,,,,,,,,,,,,,,,,,,
"1537 ",,"25.0 ","26.0 ","7.0 ","7.2 ","276 ","278 ","2.3 ","2.3 ","0.70 ","0.80 ","2 ","2 ","2 ","2 ","156 ","224 ","0.3 ","0.3 ","0.010 ",0.010,
,"ASSAM) ASSAM ",,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER AT BARPETA,",,,,,,,,,,,,,,,,,,,,,
"1539 ",,"30.0 ","31.0 ","7.4 ","7.5 ","304 ","329 ","2.0 ","2.1 ","0.80 ","0.80 ","2 ","2 ","2 ","2 ","172 ","180 ","0.3 ","0.3 ","0.010 ",0.010,
,"ASSAM ASSAM ",,,,,,,,,,,,,,,,,,,,,
,GROUND WATER AT,,,,,,,,,,,,,,,,,,,,,
"1540 ",,"27.0 ","29.0 ","7.2 ","7.6 ","366 ","390 ","2.0 ","2.6 ","0.70 ","1.00 ","2 ","2 ","2 ","2 ","202 ","218 ","0.3 ","0.3 ","0.010 ",0.010,
,"BONAIGAON, ASSAM ASSAM ",,,,,,,,,,,,,,,,,,,,,
,"GROUND WATER AT DIGBOI,",,,,,,,,,,,,,,,,,,,,,
"1533 ",,"24.0 ","26.0 ","6.8 ","7.1 ","328 ","332 ","2.3 ","2.5 ","1.10 ","1.40 ","2 ","2 ","2 ","2 ","184 ","218 ","0.2 ","0.3 ","0.010 ",0.010,
,"TINSUKIA DISTT., ASSAM ASSAM ",,,,,,,,,,,,,,,,,,,,,
,GROUND WATER AT KARBI,,,,,,,,,,,,,,,,,,,,,
"1534 ",,"25.0 ","25.0 ","7.2 ","7.2 ","308 ","308 ","2.3 ","2.3 ","0.80 ","0.80 ","- ","- ","- ","- ","176 ","176 ","0.3 ","0.3 ","- ",-,
,"ANGLONG DISTT., ASSAM ASSAM ",,,,,,,,,,,,,,,,,,,,,
,GROUND WATER AT NOONMATI,,,,,,,,,,,,,,,,,,,,,
"1541 ",,"27.0 ","29.0 ","7.3 ","7.6 ","401 ","408 ","2.3 ","2.5 ","0.80 ","1.00 ","2 ","2 ","2 ","2 ","218 ","224 ","0.3 ","0.3 ","0.010 ",0.010,
,"GUWAHATI, ASSAM ASSAM ",,,,,,,,,,,,,,,,,,,,,
,GROUND WATER AT SIBSAGAR,,,,,,,,,,,,,,,,,,,,,
1535,"GOVT ME SCHOOL WARD 6, RED","25.0 ","26.0 ","6.8 ","7.3 ","284 ","288 ","2.2 ","2.6 ","0.70 ","0.80 ","2 ","2 ","2 ","2 ","160 ","166 ","0.3 ","0.3 ","0.010 ",0.010,
,"CROSS ROAD , ASSAM ASSAM",,,,,,,,,,,,,,,,,,,,,
,GROUND WATER AT SIJUBARI,,,,,,,,,,,,,,,,,,,,,
"1542 ",,"27.0 ","28.0 ","7.8 ","7.8 ","352 ","354 ","2.0 ","2.6 ","0.80 ","1.00 ","2 ","2 ","2 ","2 ","194 ","200 ","0.3 ","0.4 ","0.010 ",0.010,
,"MAZAR, NATBOMA HATIGAON ASSAM ",,,,,,,,,,,,,,,,,,,,,

,,WATER QUALITY DATA OF GROUND WATER UNDER NWMP - 2021,,,,,,,,,,,,,,,,,,,,
,,Temperature,,,,Conductivity,,,,,Nitrate N,Faecal Coliform,,Total Coliform,,Total Dissolved,,,Fluoride,Arsenic,,
,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,,,,
STN,,,,,,,,,,,,,,,,,,,,,,
,,,"⁰C ",,,"(μmhos/cm) ",,,,,(mg/L),(MPN/100ml),,(MPN/100ml),,Solids (mg/L),,,(mg/L),(mg/L),,
,Name of Monitoring Location State Name,,,,,,,,,,,,,,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,,,
,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
,"GROUND WATER AT SILCHAR,",,,,,,,,,,,,,,,,,,,,,
"1538 ",,"23.0 ","23.0 ","6.8 ","7.4 ","196 ","291 ","2.1 ","2.2 ","0.80 ","0.90 ","2 ","2 ","2 ","2 ","118 ","166 ","0.3 ","0.3 ","- ",-,
,"ASSAM ASSAM ",,,,,,,,,,,,,,,,,,,,,
,GROUND WATER BESIDE MSW,,,,,,,,,,,,,,,,,,,,,
