# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,Nitrate-N +,,,,
,,,Temperature,,,,Conductivity,,,B.O.D.,,,Faecal Coli form,,Total Coli form,
,,,,,,"pH ",,,,,,Nitrite-N,,,,
"1534 ","KARBI ANGLONG DISTT., ASSAM ","ASSAM ","26 ","26 ","5.4 ","6.4 ","105 ","1240 ","1.9 ","2.5 ","0.4 ","0.4 ","2 ","2 ","2 ",2
,"SIBSAGAR GOVT ME SCHOOL WARD 6, RED",,,,,,,,,,,,,,,
"1535 ",,"ASSAM ","24 ","25 ","6.7 ","7.5 ","212 ","217 ","1.1 ","1.6 ","0.1 ",2.4,,,,
,"CROSS ROAD , ASSAM ",,,,,,,,,,,,,,,
,NEAR BPMS H.S. SCHOOL SONARI TOWN DIST,,,,,,,,,,,,,,,
"1536 ",,"ASSAM ","22 ","25 ","6.7 ","7.0 ","217 ","228 ","1.5 ","1.6 ","0.1 ","0.6 ","2 ","2 ","2 ",2
,"CHARAIDEO ",,,,,,,,,,,,,,,
"1537 ","*(JORHAT, ASSAM ","ASSAM ","27 ","29 ","6.7 ","7.7 ","225 ","416 ","1.5 ","2.6 ","0.2 ","1.6 ","2 ","2 ","2 ",2
"1538 ","*SILCHAR, ASSAM ","ASSAM ","24 ","24 ","5.5 ","6.5 ","95 ","120 ","0.7 ","1.8 ","2.4 ","3.7 ","2 ","2 ","2 ",2
"1539 ","*BARPETA, ASSAM ","ASSAM ","28 ","28 ","6.9 ","7.4 ","222 ","580 ","1.0 ","1.5 ","0.2 ","0.7 ","2 ","2 ","2 ",2
"1540 ","*BONAIGAON, ASSAM ","ASSAM ","27 ","27 ","7.0 ","7.4 ","96 ","139 ","1.1 ","1.2 ","0.1 ","5.0 ","2 ","2 ","2 ",2
"1541 ","NOONMATI GUWAHATI, ASSAM ","ASSAM ","26 ","29 ","6.4 ","6.8 ","238 ","265 ","1.5 ","1.5 ","0.7 ","1.1 ","2 ","2 ","2 ",2
"1542 ","NEAR SIJUBARI MAZAR, NATBOMA HATIGAON ","ASSAM ","26 ","30 ","6.6 ","7.9 ","256 ","565 ","1.2 ","1.6 ","0.2 ","0.4 ","2 ","2 ","2 ",2
,"GROUND WATER FROM LEDO, MARGHERITA,",,,,,,,,,,,,,,,
"2243 ",,"ASSAM ","18 ","22 ","5.2 ","5.7 ","153 ","227 ","1.0 ","2.0 ","0.4 ","0.5 ","2 ","2 ","2 ",2
,"ASSAM ",,,,,,,,,,,,,,,
